Service,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
9,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0302,0.03,0.0298,0.0296,0.0294,0.0293,0.0291,0.0289,0.0287,0.0285,0.0276,0.0267,0.0258,0.0249,0.024,0.0231,0.0221,0.0212,0.0203,0.0194,0.0191,0.0188,0.0185,0.0182,0.0179,0.0176,0.0173,0.017,0.0166,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0.0163,0,0,0,0,0,0,0,0,0
10,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0277,0.0275,0.0274,0.0272,0.0271,0.0269,0.0268,0.0266,0.0265,0.0263,0.0253,0.0244,0.0234,0.0225,0.0215,0.0206,0.0196,0.0186,0.0177,0.0167,0.0166,0.0164,0.0162,0.016,0.0159,0.0157,0.0155,0.0153,0.0152,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0,0,0,0,0,0,0,0,0,0
11,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,0.0254,0.0252,0.0251,0.025,0.0248,0.0247,0.0245,0.0244,0.0242,0.0241,0.0231,0.0221,0.0212,0.0202,0.0192,0.0183,0.0173,0.0163,0.0154,0.0144,0.013,0.0115,0.0101,0.0086,0.0072,0.0058,0.0043,0.0029,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0236,0.0234,0.0232,0.0231,0.0229,0.0227,0.0226,0.0224,0.0222,0.022,0.0219,0.0209,0.02,0.019,0.0181,0.0172,0.0162,0.0153,0.0143,0.0134,0.0124,0.0112,0.01,0.0087,0.0075,0.0062,0.005,0.0037,0.0025,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,0.0217,0.0215,0.0212,0.021,0.0208,0.0206,0.0204,0.0201,0.0199,0.0197,0.0188,0.0179,0.017,0.0162,0.0153,0.0144,0.0135,0.0126,0.0117,0.0108,0.0098,0.0087,0.0076,0.0065,0.0054,0.0043,0.0033,0.0022,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0205,0.0205,0.0205,0.0205,0.0205,0.0205,0.0205,0.0205,0.0205,0.0205,0.0205,0.0202,0.0199,0.0196,0.0193,0.019,0.0187,0.0185,0.0182,0.0179,0.0176,0.0168,0.016,0.0152,0.0144,0.0136,0.0128,0.012,0.0111,0.0103,0.0095,0.0086,0.0076,0.0067,0.0057,0.0048,0.0038,0.0029,0.0019,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0189,0.0185,0.0181,0.0178,0.0174,0.017,0.0167,0.0163,0.0159,0.0156,0.0149,0.0142,0.0135,0.0127,0.012,0.0113,0.0106,0.0099,0.0092,0.0085,0.0077,0.0068,0.006,0.0051,0.0043,0.0034,0.0026,0.0017,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0181,0.0177,0.0172,0.0168,0.0163,0.0159,0.0155,0.015,0.0146,0.0141,0.0137,0.0131,0.0125,0.0119,0.0113,0.0107,0.0101,0.0095,0.0089,0.0083,0.0077,0.0069,0.0062,0.0054,0.0046,0.0039,0.0031,0.0023,0.0015,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.0165,0.016,0.0155,0.015,0.0145,0.014,0.0135,0.013,0.0125,0.012,0.0113,0.0107,0.0101,0.0094,0.0088,0.0082,0.0076,0.0069,0.0063,0.0057,0.0051,0.0045,0.004,0.0034,0.0028,0.0023,0.0017,0.0011,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.0154,0.0149,0.0143,0.0138,0.0132,0.0126,0.0121,0.0115,0.011,0.0104,0.0098,0.0092,0.0086,0.0079,0.0073,0.0067,0.0061,0.0055,0.0049,0.0043,0.0038,0.0034,0.003,0.0026,0.0021,0.0017,0.0013,0.0009,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
