PartNo,Status,ClassAndTier,Department,BargainingUnit,Classification,Gender,BenefitService,EligibilityService,DateOfBirth,Salary,EEContribBal,EEContribRate,PartTimePercentage,SecondGender,SecondDateOfBirth,AnnOpt,SSAOpt,YrsCertain,DropPct,CAPopupPct,AnnPmtPct,SSAAmount,SSADropYear,OriginalBenefit,CurrentBenefit,SimpleDBOpt,StatusDate,Weight
695,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,09/01/1931,,,,,,,ORM1,,,,1,,,,,,,,1
696,Retired,Fire.Classic.30@50,,FMG.1,Fire,M,,,09/14/1957,,,,,F,02/01/1959,ORM2,,,,1,,,,,,,,1
697,Retired,Misc.Tier1.PEPRA,,VCEA.4,Misc,F,,,05/20/1963,,,,,,,ORM2,,4,,1,,,,,,,,0.5
698,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,12/12/1958,,,,,F,04/22/1967,ORM2,,,,1,,,,,,,,1
699,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,M,,,09/30/1940,,,,,F,10/11/1959,ORM2,,,,1,,,,,,,,1
700,Retired,Fire.Classic.30@50,,DH.1,Fire,M,,,01/11/1953,,,,,F,11/04/1958,ORM2,,,,1,,,,,,,,1
701,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,M,,,01/24/1948,,,,,F,11/14/1954,ORM2,,,,1,,,,,,,,1
702,Retired,Fire.Classic.30@50,,VFA.4,Fire,M,,,10/24/1958,,,,,,,ORM2,,0,,1,,,,,,,,0.5
703,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,11/03/1949,,,,,F,04/08/1952,ORM2,,,,1,,,,,,,,1
704,Retired,Fire.Classic.30@50,,VFA.4,Fire,M,,,04/19/1961,,,,,,,ORM2,,2,,1,,,,,,,,0.5
705,Retired,Misc.Tier1.PEPRA,,VPOA.1,Misc,F,,,05/04/1942,,,,,,,ORM1,,,,1,,,,,,,,1
706,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,F,,,04/03/1953,,,,,,,ORM1,,,,1,,,,,,,,1
707,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,05/27/1951,,,,,,,ORM1,,,,1,,,,,,,,1
708,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,11/25/1940,,,,,F,01/28/1943,ORM2,,,,1,,,,,,,,1
709,Retired,Police.Classic.30@50,,VPOA.5,Police,M,,,05/14/1949,,,,,,,ORM2,,,,1,,,,,,,,0
710,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,03/06/1940,,,,,,,ORM1,,,,1,,,,,,,,1
711,Retired,Misc.Tier1.PEPRA,,DH.2,Misc,M,,,07/06/1953,,,,,F,01/15/1957,ORM2,,,,1,,,,,,,,1
712,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,M,,,10/15/1946,,,,,F,11/10/1948,ORM2,,,,1,,,,,,,,1
713,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,12/05/1953,,,,,F,04/06/1956,ORM2,,,,1,,,,,,,,1
714,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,08/28/1939,,,,,,,ORM1,,,,1,,,,,,,,1
715,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,10/29/1955,,,,,F,11/11/1956,ORM2,,,,1,,,,,,,,1
716,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,08/15/1953,,,,,,,ORM2,,,,1,,,,,,,,1
717,Retired,Misc.Tier1.PEPRA,,AMG.1,Misc,M,,,08/04/1938,,,,,F,11/11/1947,ORM2,,,,1,,,,,,,,1
718,Retired,Misc.Tier1.PEPRA,,EL39.3,Misc,M,,,03/15/1951,,,,,,,ORM2,,,,1,,,,,,,,1
719,Retired,Police.Classic.30@50,,VPOA.2,Police,M,,,06/16/1964,,,,,,,ORM2,,,,1,,,,,,,,1
720,Retired,Fire.Classic.30@50,,VFA.1,Fire,M,,,09/06/1948,,,,,F,12/12/1948,ORM2,,,,1,,,,,,,,1
721,Retired,Misc.Tier1.PEPRA,,EL39.3,Misc,M,,,05/01/1931,,,,,,,ORM2,,,,1,,,,,,,,1
722,Retired,Fire.Classic.30@50,,VFA.1,Fire,M,,,04/02/1948,,,,,F,08/03/1950,ORM2,,,,1,,,,,,,,1
723,Retired,Misc.Tier1.PEPRA,,VCEA.5,Misc,M,,,06/02/1951,,,,,,,ORM2,,,,1,,,,,,,,0
724,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,10/22/1962,,,,,F,04/10/1959,ORM2,,,,1,,,,,,,,1
725,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,06/19/1946,,,,,M,09/15/1943,ORM2,,,,1,,,,,,,,1
726,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,11/02/1944,,,,,,,ORM1,,,,1,,,,,,,,1
727,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,07/31/1949,,,,,,,ORM1,,,,1,,,,,,,,1
728,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,08/19/1943,,,,,F,03/31/1943,ORM2,,,,1,,,,,,,,1
729,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,06/27/1953,,,,,F,12/21/1968,ORM2,,,,1,,,,,,,,1
730,Retired,Fire.Classic.30@50,,FMG.2,Fire,M,,,06/13/1952,,,,,F,04/06/1954,ORM2,,,,1,,,,,,,,1
731,Retired,Misc.Tier1.PEPRA,,VCEA.4,Misc,F,,,10/05/1961,,,,,,,ORM2,,2,,1,,,,,,,,0.5
732,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,03/03/1943,,,,,,,ORM1,,,,1,,,,,,,,1
733,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,06/14/1949,,,,,,,ORM1,,,,1,,,,,,,,1
734,Retired,Fire.Classic.30@50,,VFA.2,Fire,M,,,06/23/1958,,,,,,,ORM1,,,,1,,,,,,,,1
735,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,02/23/1947,,,,,,,ORM1,,,,1,,,,,,,,1
736,Retired,Fire.Classic.30@50,,VFA.2,Fire,M,,,09/15/1959,,,,,F,05/22/1959,ORM2,,,,1,,,,,,,,1
737,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,F,,,09/01/1961,,,,,,,ORM2,,,,1,,,,,,,,1
738,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,06/01/1960,,,,,M,12/17/1959,ORM2,,,,1,,,,,,,,1
739,Retired,Misc.Tier1.PEPRA,,FMG.2,Misc,M,,,08/18/1963,,,,,F,03/31/1965,ORM2,,,,1,,,,,,,,1
740,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,02/11/1954,,,,,,,ORM1,,,,1,,,,,,,,1
741,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,09/21/1951,,,,,F,08/31/1954,ORM2,,,,1,,,,,,,,1
742,Retired,Misc.Tier1.PEPRA,,EL39.3,Misc,M,,,08/07/1943,,,,,,,ORM2,,,,1,,,,,,,,1
743,Retired,Misc.Tier1.PEPRA,,DH.2,Misc,M,,,08/15/1955,,,,,F,09/06/1954,ORM2,,,,1,,,,,,,,1
744,Retired,Misc.Tier1.PEPRA,,VCEA.4,Misc,F,,,03/11/1963,,,,,,,ORM2,,4,,1,,,,,,,,0.5
745,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,11/27/1964,,,,,M,11/28/1960,ORM2,,,,1,,,,,,,,1
746,Retired,Misc.Tier1.PEPRA,,DH.2,Misc,M,,,02/26/1953,,,,,F,07/25/1955,ORM2,,,,1,,,,,,,,1
747,Retired,Fire.Classic.30@50,,FMG.2,Fire,M,,,11/17/1964,,,,,F,01/31/1966,ORM2,,,,1,,,,,,,,1
748,Retired,Police.Classic.30@50,,VPOA.1,Police,M,,,07/13/1966,,,,,F,09/28/1963,ORM2,,,,1,,,,,,,,1
749,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,05/31/1947,,,,,M,04/19/1947,ORM2,,,,1,,,,,,,,1
750,Retired,Fire.Classic.30@50,,VFA.2,Fire,M,,,06/12/1956,,,,,F,05/10/1958,ORM2,,,,1,,,,,,,,1
751,Retired,Fire.Classic.30@50,,VFA.2,Fire,M,,,05/07/1960,,,,,F,05/27/1958,ORM2,,,,1,,,,,,,,1
752,Retired,Police.Classic.30@50,,VPOA.1,Police,M,,,08/18/1947,,,,,,,ORM1,,,,1,,,,,,,,1
753,Retired,Police.Classic.30@50,,VPOA.2,Police,F,,,03/22/1960,,,,,,,ORM2,,,,1,,,,,,,,1
754,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,F,,,04/26/1940,,,,,,,ORM1,,,,1,,,,,,,,1
755,Retired,Fire.Classic.30@50,,DH.1,Fire,M,,,10/27/1944,,,,,,,ORM1,,,,1,,,,,,,,1
756,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,09/23/1958,,,,,,,ORM2,,,,1,,,,,,,,1
757,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,08/11/1955,,,,,F,10/21/1957,ORM2,,,,1,,,,,,,,1
758,Retired,Police.Classic.30@50,,VPOA.2,Police,M,,,03/30/1963,,,,,F,09/09/1963,ORM2,,,,0.9,,,,,,,,1
759,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,01/20/1949,,,,,,,ORM1,,,,1,,,,,,,,1
760,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,09/07/1956,,,,,M,02/28/1951,ORM2,,,,1,,,,,,,,1
761,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,08/17/1951,,,,,F,04/07/1952,ORM2,,,,1,,,,,,,,1
762,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,08/16/1948,,,,,,,ORM1,,,,1,,,,,,,,1
763,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,11/02/1961,,,,,M,07/07/1959,ORM2,,,,1,,,,,,,,1
764,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,05/07/1939,,,,,,,ORM1,,,,1,,,,,,,,1
765,Retired,Police.Classic.30@50,,VPMA.1,Police,M,,,07/24/1949,,,,,F,12/07/1953,ORM2,,,,1,,,,,,,,1
766,Retired,Misc.Tier1.PEPRA,,VCEA.5,Misc,F,,,04/28/1947,,,,,,,ORM2,,,,0,,,,,,,,0
767,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,09/10/1947,,,,,M,12/10/1944,ORM2,,,,1,,,,,,,,1
768,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,07/21/1942,,,,,M,10/01/1940,ORM2,,,,1,,,,,,,,1
769,Retired,Misc.Tier1.PEPRA,,EL39.5,Misc,F,,,12/15/1951,,,,,,,ORM2,,,,0,,,,,,,,0
770,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,02/08/1955,,,,,M,12/01/1951,ORM2,,,,1,,,,,,,,1
771,Retired,Misc.Tier1.PEPRA,,AMG.5,Misc,M,,,05/10/1945,,,,,,,ORM2,,,,0,,,,,,,,0
772,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,09/21/1950,,,,,M,12/22/1950,ORM2,,,,1,,,,,,,,1
773,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,03/13/1957,,,,,,,ORM1,,,,1,,,,,,,,1
774,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,11/06/1952,,,,,M,07/23/1950,ORM2,,,,1,,,,,,,,1
775,Retired,Police.Classic.30@50,,VPMA.1,Police,M,,,12/19/1940,,,,,F,12/19/1941,ORM2,,,,1,,,,,,,,1
776,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,06/29/1950,,,,,F,01/30/1940,ORM2,,,,1,,,,,,,,1
777,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,M,,,11/29/1952,,,,,F,07/27/1962,ORM2,,,,1,,,,,,,,1
778,Retired,Misc.Tier1.PEPRA,,VCEA.4,Misc,F,,,02/15/1958,,,,,,,ORM2,,0,,1,,,,,,,,0.5
779,Retired,Misc.Tier1.PEPRA,,VPOA.1,Misc,F,,,02/21/1950,,,,,M,02/27/1951,ORM2,,,,1,,,,,,,,1
780,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,11/29/1952,,,,,F,11/12/1955,ORM2,,,,1,,,,,,,,1
781,Retired,Misc.Tier1.PEPRA,,DH.2,Misc,M,,,07/28/1950,,,,,,,ORM1,,,,1,,,,,,,,1
782,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,11/25/1949,,,,,F,07/13/1950,ORM2,,,,1,,,,,,,,1
783,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,08/02/1938,,,,,F,10/30/1944,ORM2,,,,1,,,,,,,,1
784,Retired,Police.Classic.30@50,,VPMA.2,Police,M,,,07/22/1960,,,,,F,10/02/1961,ORM2,,,,1,,,,,,,,1
785,Retired,Misc.Tier1.PEPRA,,AMG.1,Misc,M,,,06/12/1944,,,,,F,06/27/1958,ORM2,,,,1,,,,,,,,1
786,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,02/09/1942,,,,,M,04/24/1942,ORM2,,,,1,,,,,,,,1
787,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,F,,,09/02/1937,,,,,,,ORM1,,,,1,,,,,,,,1
788,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,F,,,12/31/1955,,,,,,,ORM1,,,,1,,,,,,,,1
789,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,08/06/1941,,,,,,,ORM1,,,,1,,,,,,,,1
790,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,10/26/1958,,,,,,,ORM2,,,,1,,,,,,,,1
791,Retired,Fire.Classic.30@50,,VFA.2,Fire,M,,,04/14/1962,,,,,F,05/09/1962,ORM2,,,,1,,,,,,,,1
792,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,M,,,01/19/1949,,,,,F,05/11/1952,ORM2,,,,1,,,,,,,,1
793,Retired,Fire.Classic.30@50,,VFA.2,Fire,M,,,12/05/1966,,,,,F,01/03/1968,ORM2,,,,1,,,,,,,,1
794,Retired,Misc.Tier1.PEPRA,,DH.4,Misc,F,,,11/13/1958,,,,,,,ORM2,,0,,1,,,,,,,,0.5
795,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,07/06/1947,,,,,M,05/25/1947,ORM2,,,,1,,,,,,,,1
796,Retired,Police.Classic.30@50,,VPOA.2,Police,M,,,12/31/1962,,,,,F,10/02/1970,ORM2,,,,0.9,,,,,,,,1
797,Retired,Fire.Classic.30@50,,FMG.1,Fire,M,,,08/08/1946,,,,,F,03/17/1948,ORM2,,,,1,,,,,,,,1
798,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,09/01/1946,,,,,M,06/29/1937,ORM2,,,,1,,,,,,,,1
799,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,08/19/1956,,,,,M,08/16/1946,ORM2,,,,1,,,,,,,,1
800,Retired,Misc.Tier1.PEPRA,,EL39.5,Misc,M,,,11/14/1934,,,,,,,ORM2,,,,0,,,,,,,,0
801,Retired,Police.Classic.30@50,,VPMA.2,Police,M,,,06/08/1959,,,,,F,10/04/1962,ORM2,,,,1,,,,,,,,1
802,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,05/01/1950,,,,,,,ORM1,,,,1,,,,,,,,1
803,Retired,Police.Classic.30@50,,VPOA.1,Police,M,,,03/29/1957,,,,,F,07/03/1962,ORM2,,,,1,,,,,,,,1
804,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,10/03/1946,,,,,F,01/12/1948,ORM2,,,,1,,,,,,,,1
805,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,03/09/1951,,,,,M,05/14/1952,ORM2,,,,1,,,,,,,,1
806,Retired,Police.Classic.30@50,,VPMA.2,Police,F,,,10/15/1963,,,,,,,ORM2,,,,1,,,,,,,,1
807,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,09/10/1950,,,,,F,09/29/1950,ORM2,,,,1,,,,,,,,1
808,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,07/21/1949,,,,,F,03/16/1956,ORM2,,,,1,,,,,,,,1
809,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,11/30/1943,,,,,F,07/22/1947,ORM2,,,,1,,,,,,,,1
810,Retired,Misc.Tier1.PEPRA,,VCEA.4,Misc,F,,,09/12/1956,,,,,,,,,,,,,,,,,,,
811,Retired,Fire.Classic.30@50,,VFA.1,Fire,M,,,12/04/1948,,,,,,,ORM1,,,,1,,,,,,,,1
812,Retired,Police.Classic.30@50,,VPMA.2,Police,M,,,06/26/1957,,,,,F,09/17/1957,ORM2,,,,1,,,,,,,,1
813,Retired,Fire.Classic.30@50,,DH.2,Fire,M,,,06/11/1965,,,,,F,06/26/1964,ORM2,,,,1,,,,,,,,1
814,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,02/24/1946,,,,,M,07/30/1942,ORM2,,,,1,,,,,,,,1
815,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,03/23/1954,,,,,F,11/06/1954,ORM2,,,,1,,,,,,,,1
816,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,12/01/1942,,,,,F,01/18/1944,ORM2,,,,1,,,,,,,,1
817,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,07/25/1952,,,,,M,08/18/1949,ORM2,,,,1,,,,,,,,1
818,Retired,Misc.Tier1.PEPRA,,EL39.3,Misc,M,,,01/29/1943,,,,,,,ORM2,,,,1,,,,,,,,1
819,Retired,Police.Classic.30@50,,VPOA.1,Police,M,,,04/17/1936,,,,,F,05/18/1940,ORM2,,,,1,,,,,,,,1
820,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,04/27/1954,,,,,M,08/18/1951,ORM2,,,,1,,,,,,,,1
821,Retired,Misc.Tier1.PEPRA,,AMG.1,Misc,F,,,10/11/1951,,,,,M,09/27/1948,ORM2,,,,1,,,,,,,,1
822,Retired,Misc.Tier1.PEPRA,,VMO.4,Misc,F,,,12/13/1955,,,,,,,ORM2,,0,,0.9,,,,,,,,0.5
823,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,08/13/1955,,,,,F,11/28/1955,ORM2,,,,1,,,,,,,,1
824,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,01/14/1948,,,,,F,05/29/1949,ORM2,,,,1,,,,,,,,1
825,Retired,Misc.Tier1.PEPRA,,EL39.4,Misc,F,,,07/08/1957,,,,,,,ORM2,,0,,1,,,,,,,,0.5
826,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,03/22/1949,,,,,F,09/30/1955,ORM2,,,,1,,,,,,,,1
827,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,10/27/1957,,,,,F,09/14/1960,ORM2,,,,1,,,,,,,,1
828,Retired,Fire.Classic.30@50,,FMG.2,Fire,M,,,04/27/1958,,,,,F,02/17/1961,ORM2,,,,1,,,,,,,,1
829,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,08/12/1953,,,,,F,09/17/1954,ORM2,,,,1,,,,,,,,1
830,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,01/03/1954,,,,,,,ORM1,,,,1,,,,,,,,1
831,Retired,Misc.Tier1.PEPRA,,VMO.5,Misc,M,,,05/01/1950,,,,,,,ORM2,,,,0,,,,,,,,0
832,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,F,,,05/05/1957,,,,,M,05/20/1959,ORM2,,,,1,,,,,,,,1
833,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,07/11/1944,,,,,,,ORM1,,,,1,,,,,,,,1
834,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,04/27/1961,,,,,M,01/31/1953,ORM2,,,,1,,,,,,,,1
835,Retired,Police.Classic.30@50,,VPMA.4,Police,M,,,02/27/1962,,,,,,,ORM2,,3,,1,,,,,,,,0.5
836,Retired,Misc.Tier1.PEPRA,,CC.1,Misc,F,,,11/14/1932,,,,,,,ORM1,,,,1,,,,,,,,1
837,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,F,,,03/23/1946,,,,,,,ORM1,,,,1,,,,,,,,1
838,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,05/02/1960,,,,,F,08/18/1963,ORM2,,,,1,,,,,,,,1
839,Retired,Misc.Tier1.PEPRA,,DH.2,Misc,F,,,10/02/1962,,,,,M,09/27/1956,ORM2,,,,1,,,,,,,,1
840,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,08/27/1949,,,,,M,10/19/1947,ORM2,,,,1,,,,,,,,1
841,Retired,Police.Classic.30@50,,VPMA.2,Police,F,,,02/22/1966,,,,,,,ORM1,,,,1,,,,,,,,1
842,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,04/14/1946,,,,,,,ORM1,,,,1,,,,,,,,1
843,Retired,Fire.Classic.30@50,,VFA.1,Fire,M,,,09/05/1933,,,,,F,11/16/1937,ORM2,,,,1,,,,,,,,1
844,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,07/04/1952,,,,,,,ORM2,,,,1,,,,,,,,1
845,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,03/31/1950,,,,,F,11/25/1961,ORM2,,,,1,,,,,,,,1
846,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,05/10/1946,,,,,M,12/24/1947,ORM2,,,,1,,,,,,,,1
847,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,12/23/1956,,,,,,,ORM1,,,,1,,,,,,,,1
848,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,02/22/1938,,,,,F,07/29/1941,ORM2,,,,1,,,,,,,,1
849,Retired,Police.Classic.30@50,,VPMA.1,Police,M,,,06/25/1944,,,,,F,11/27/1950,ORM2,,,,1,,,,,,,,1
850,Retired,Police.Classic.30@50,,VPMA.1,Police,M,,,01/30/1951,,,,,F,05/27/1950,ORM2,,,,1,,,,,,,,1
851,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,06/27/1960,,,,,F,01/02/1958,ORM2,,,,1,,,,,,,,1
852,Retired,Police.Classic.30@50,,VPOA.1,Police,M,,,05/15/1956,,,,,F,10/22/1956,ORM2,,,,1,,,,,,,,1
853,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,10/17/1947,,,,,F,10/19/1943,ORM2,,,,1,,,,,,,,1
854,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,05/29/1932,,,,,M,09/21/1929,ORM2,,,,1,,,,,,,,1
855,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,09/03/1953,,,,,,,ORM1,,,,1,,,,,,,,1
856,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,08/19/1958,,,,,M,08/23/1962,ORM2,,,,1,,,,,,,,1
857,Retired,Misc.Tier1.PEPRA,,DH.2,Misc,M,,,07/30/1952,,,,,F,11/07/1952,ORM2,,,,1,,,,,,,,1
858,Retired,Fire.Classic.30@50,,FMG.2,Fire,M,,,11/01/1962,,,,,F,11/26/1955,ORM2,,,,1,,,,,,,,1
859,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,12/17/1930,,,,,F,03/15/1931,ORM2,,,,1,,,,,,,,1
860,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,05/22/1947,,,,,F,04/20/1949,ORM2,,,,1,,,,,,,,1
861,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,08/05/1947,,,,,F,05/06/1949,ORM2,,,,1,,,,,,,,1
862,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,07/17/1951,,,,,F,12/13/1952,ORM2,,,,1,,,,,,,,1
863,Retired,Police.Classic.30@50,,VPMA.2,Police,M,,,07/17/1961,,,,,F,05/31/1963,ORM2,,,,1,,,,,,,,1
864,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,09/11/1954,,,,,,,ORM1,,,,1,,,,,,,,1
865,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,03/07/1954,,,,,F,03/01/1952,ORM2,,,,1,,,,,,,,1
866,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,06/14/1951,,,,,,,ORM1,,,,1,,,,,,,,1
867,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,09/11/1943,,,,,F,07/14/1951,ORM2,,,,1,,,,,,,,1
868,Retired,Police.Classic.30@50,,VPOA.2,Police,M,,,01/15/1961,,,,,F,07/20/1965,ORM2,,,,1,,,,,,,,1
869,Retired,Misc.Tier1.PEPRA,,AMG.1,Misc,F,,,02/16/1951,,,,,,,ORM1,,,,1,,,,,,,,1
870,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,06/04/1946,,,,,,,ORM1,,,,1,,,,,,,,1
871,Retired,Police.Classic.30@50,,VPMA.1,Police,M,,,08/20/1930,,,,,F,01/03/1943,ORM2,,,,1,,,,,,,,1
872,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,11/04/1952,,,,,,,ORM1,,,,1,,,,,,,,1
873,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,12/07/1952,,,,,,,ORM1,,,,1,,,,,,,,1
874,Retired,Misc.Tier1.PEPRA,,EL39.5,Misc,M,,,06/05/1948,,,,,,,ORM2,,,,1,,,,,,,,0
875,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,09/25/1959,,,,,,,ORM1,,,,1,,,,,,,,1
876,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,11/11/1955,,,,,M,11/15/1952,ORM2,,,,1,,,,,,,,1
877,Retired,Misc.Tier1.PEPRA,,DH.4,Misc,M,,,02/06/1962,,,,,,,ORM2,,3,,1,,,,,,,,0.5
878,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,02/16/1952,,,,,F,09/28/1952,ORM2,,,,1,,,,,,,,1
879,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,03/08/1953,,,,,F,12/15/1951,ORM2,,,,1,,,,,,,,1
880,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,02/21/1947,,,,,M,03/03/1938,ORM2,,,,1,,,,,,,,1
881,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,11/25/1956,,,,,,,ORM1,,,,1,,,,,,,,1
882,Retired,Police.Classic.30@50,,VPOA.2,Police,M,,,05/04/1962,,,,,,,ORM2,,,,1,,,,,,,,1
883,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,08/30/1956,,,,,M,11/06/1955,ORM2,,,,1,,,,,,,,1
884,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,09/13/1939,,,,,,,ORM1,,,,1,,,,,,,,1
885,Retired,Fire.Classic.30@50,,VFA.1,Fire,M,,,11/08/1947,,,,,F,11/14/1952,ORM2,,,,1,,,,,,,,1
886,Retired,Misc.Tier1.PEPRA,,VCEA.5,Misc,F,,,10/24/1949,,,,,,,ORM2,,,,0,,,,,,,,0
