PartNo,Status,ClassAndTier,Department,BargainingUnit,Classification,Gender,BenefitService,EligibilityService,DateOfBirth,Salary,EEContribBal,EEContribRate,PartTimePercentage,SecondGender,SecondDateOfBirth,AnnOpt,SSAOpt,YrsCertain,DropPct,CAPopupPct,AnnPmtPct,SSAAmount,SSADropYear,OriginalBenefit,CurrentBenefit,SimpleDBOpt,StatusDate,Weight
435,Active,Police.PEPRA.2@57,,DH.2,Police,M,1.75,1.9,08/11/1964,210470.64,0,0,1,,,,,,,,,,,,,,,1
436,Active,Fire.PEPRA.2@57,,VFA.2,Fire,M,3.79,4.775,10/27/1985,111992.16,0,0,1,,,,,,,,,,,,,,,1
437,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,F,0.66,12.192,07/17/1966,57326.16,0,0,1,,,,,,,,,,,,,,,1
438,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,19.79,26.581,04/28/1961,113767.44,0,0,1,,,,,,,,,,,,,,,1
439,Active,Misc.Tier1.Classic.2@55,,VCEA.2,Misc,F,21.71,22.394,06/29/1959,64761.36,0,0,1,,,,,,,,,,,,,,,1
440,Active,Fire.PEPRA.2@57,,VFA.2,Fire,M,1.79,1.95,05/20/1992,96742.56,0,0,1,,,,,,,,,,,,,,,1
441,Active,Police.PEPRA.2@57,,VPOA.2,Police,F,2.12,2.78,06/06/1988,89772.84,0,0,1,,,,,,,,,,,,,,,1
442,Active,Police.Classic.30@50,,VPOA.1,Police,M,21.16,22.837,02/04/1971,98946.12,0,0,1,,,,,,,,,,,,,,,1
443,Active,Police.Classic.2@50,,VPOA.2,Police,M,2.12,8,01/10/1983,98946.12,0,0,1,,,,,,,,,,,,,,,1
444,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,F,17.79,17.95,11/29/1975,64761.36,0,0,1,,,,,,,,,,,,,,,1
445,Active,Police.Classic.30@50,,VPOA.1,Police,M,20.46,24.895,06/17/1972,98946.12,0,0,1,,,,,,,,,,,,,,,1
446,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,M,11.82,11.984,02/08/1958,84401.64,0,0,1,,,,,,,,,,,,,,,1
447,Active,Misc.Tier1.Classic.2@55,,VPOA.1,Misc,F,21.5,21.6,02/07/1964,76124.04,0,0,1,,,,,,,,,,,,,,,1
448,Active,Misc.Tier1.PEPRA,,VMO.2,Misc,F,1.75,1.9,07/31/1975,78651.48,0,0,1,,,,,,,,,,,,,,,1
449,Active,Misc.Tier1.Classic.2@55,,VMO.2,Misc,F,0.66,0.7,06/17/1971,84062.28,0,0,1,,,,,,,,,,,,,,,1
450,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,12.25,12.939,10/28/1967,63202.08,0,0,1,,,,,,,,,,,,,,,1
451,Active,Fire.Classic.30@50,,VFA.1,Fire,M,10.46,10.55,12/01/1977,99548.4,0,0,1,,,,,,,,,,,,,,,1
