Service,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
11,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0145,0.014,0.0135,0.013,0.0125,0.012,0.0115,0.011,0.0105,0.01,0.0096,0.0092,0.0088,0.0084,0.008,0.0076,0.0072,0.0068,0.0064,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
12,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.0136,0.0132,0.0128,0.0124,0.012,0.0116,0.0112,0.0108,0.0104,0.01,0.0096,0.0092,0.0088,0.0084,0.008,0.0076,0.0072,0.0068,0.0064,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
13,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.0126,0.0122,0.0118,0.0114,0.011,0.0106,0.0102,0.0098,0.0094,0.009,0.0086,0.0082,0.0078,0.0074,0.007,0.0066,0.0062,0.0058,0.0054,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
14,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.0126,0.0122,0.0118,0.0114,0.011,0.0106,0.0102,0.0098,0.0094,0.009,0.0086,0.0082,0.0078,0.0074,0.007,0.0066,0.0062,0.0058,0.0054,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
15,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.0116,0.0112,0.0108,0.0104,0.01,0.0096,0.0092,0.0088,0.0084,0.008,0.0076,0.0072,0.0068,0.0064,0.006,0.0056,0.0052,0.0048,0.0044,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
16,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.0107,0.0104,0.0101,0.0098,0.0095,0.0092,0.0089,0.0086,0.0083,0.008,0.0076,0.0072,0.0068,0.0064,0.006,0.0056,0.0052,0.0048,0.0044,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
17,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.0106,0.0102,0.0098,0.0094,0.009,0.0086,0.0082,0.0078,0.0074,0.007,0.0067,0.0064,0.0061,0.0058,0.0055,0.0052,0.0049,0.0046,0.0043,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0097,0.0094,0.0091,0.0088,0.0085,0.0082,0.0079,0.0076,0.0073,0.007,0.0066,0.0062,0.0058,0.0054,0.005,0.0046,0.0042,0.0038,0.0034,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0096,0.0092,0.0088,0.0084,0.008,0.0076,0.0072,0.0068,0.0064,0.006,0.0057,0.0054,0.0051,0.0048,0.0045,0.0042,0.0039,0.0036,0.0033,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
20,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.0087,0.0084,0.0081,0.0078,0.0075,0.0072,0.0069,0.0066,0.0063,0.006,0.0057,0.0054,0.0051,0.0048,0.0045,0.0042,0.0039,0.0036,0.0033,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
